iter	Passed	Remaining
0	1	164
1	3	156
2	4	150
3	6	144
4	7	141
5	8	137
6	10	135
7	11	133
8	12	130
9	14	129
10	15	127
11	17	127
12	18	127
13	20	125
14	21	124
15	23	122
16	24	121
17	26	120
18	27	119
19	29	117
20	30	116
21	32	114
22	33	113
23	35	112
24	36	110
25	38	108
26	39	106
27	40	105
28	42	103
29	43	102
30	45	100
31	46	98
32	47	97
33	49	95
34	50	93
35	51	92
36	53	90
37	54	88
38	55	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	73
48	69	72
49	71	71
50	72	69
51	74	68
52	75	67
53	77	65
54	78	63
55	79	62
56	81	61
57	82	59
58	84	58
59	85	57
60	87	55
61	88	54
62	89	52
63	91	51
64	93	50
65	94	48
66	96	47
67	97	45
68	99	44
69	100	43
70	102	41
71	103	40
72	105	39
73	107	37
74	108	36
75	109	34
76	111	33
77	113	31
78	114	30
79	116	29
80	118	27
81	119	26
82	121	24
83	122	23
84	124	21
85	125	20
86	127	19
87	128	17
88	130	16
89	131	14
90	133	13
91	134	11
92	136	10
93	137	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	146	0
